"Name","JobType","Running","RequiresRetry","Scheduled","LatestRunLocal"
"zPowerShellDemoJob","VMware Backup","False","False","True","1/1/0001 00:00:00"
"HomePCs Policy","Windows Agent Policy","False","False","False","1/1/0001 00:00:00"
"vcenter_repl","VMware Replication","False","False","True","10/3/2019 21:36:50"
"Replication Test_clone1","VMware Replication","False","False","False","12/16/2019 05:00:09"
"DomainControllers","VMware Backup","False","False","True","6/2/2020 12:25:16"
"SQLLogTest","VMware Backup","False","False","True","2/7/2020 17:16:27"
"Backup Copy Job 1","VMware Backup Copy","False","False","False","12/16/2019 06:00:05"
"AUSVCENTER-TagTest","VMware Backup","False","False","True","6/2/2020 13:05:01"
"AUSVCENTER-NoTag","VMware Backup","False","False","True","6/2/2020 12:05:02"
"vCenterServers","VMware Backup","False","False","True","6/1/2020 19:00:13"
"HyperV","Hyper-V Backup","False","False","True","9/19/2019 18:09:19"
"AgentExclude","Windows Agent Backup","False","False","False","1/1/0001 00:00:00"
"Workstation Agent Backup Policy","Windows Agent Policy","False","False","False","1/1/0001 00:00:00"
"SOBRBackupTest","VMware Backup","False","False","True","6/1/2020 22:00:16"
