"BackupJob","VMName","Location","DiskMode","SpecificDisks"
"DomainControllers","ausdc01","ReFS-PerVM","AllDisks","All"
"DomainControllers","ausdc02","ReFS-PerVM","AllDisks","All"
"SQLLogTest","aussql2k14","ReFS-PerVM","AllDisks","All"
"AUSVCENTER-TagTest","VeeamTagTest","ReFS-PerVM","AllDisks","All"
"AUSVCENTER-NoTag","ausveeambem","ReFS-PerVM","SystemDisks","SCSI (0:0);SATA (0:0);IDE (0:0);NVMe (0:0)"
"AUSVCENTER-NoTag","ausveeambr","ReFS-PerVM","AllDisks","All"
"AUSVCENTER-NoTag","ausveeamone","ReFS-PerVM","SelectedDisks","SCSI (0:0);SCSI (0:2);SCSI (0:4)"
"AUSVCENTER-NoTag","ausdev01","ReFS-PerVM","AllDisks","All"
"AUSVCENTER-NoTag","ausjump01","ReFS-PerVM","AllDisks","All"
"vCenterServers","ausvcenter","ReFS-PerVM","AllDisks","All"
"SOBRBackupTest","client",,"SystemDisks","SCSI (0:0);SATA (0:0);IDE (0:0);NVMe (0:0)"
"SOBRBackupTest","DC",,"AllDisks","All"
"SOBRBackupTest","member",,"SelectedDisks","SCSI (0:0);SCSI (0:1);SCSI (0:2)"
